RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH,SOUNDING_TYPE,YEARSUNK,HISTORY
15186,OBSTRUCTION,"Submerged, dangerous",30.245,-88.828417,High,27.11,Feets,,OPR-J348-KR-14/H12625: Uncharted wreck observed at 8.26 m water depth. ENT 5/7/2014 CLF
11154,LITTLE NELL,"Submerged, dangerous",30.245833,-90.116667,Poor,3,Feets,,"NM9/68--(3/2/68);  THE 48' TUG LITTLE NELL HAS BEEN REPORTED SUNK ABOUT ¼-MILE WEST OF THE NORTH DRAW OF THE GREATER NEW ORLEANS CAUSEWAY IN 15' OF WATER IN APPROXIMATELY 30/14/45.00N, 090/07/00.00W (NAD27).  A LEAST DEPTH OF 3' OF WATER WAS REPORTED OVER THE WRECK.  AN UNLIGHTED 55-GAL. DRUM BUOY WAS REPORTED MARKING THE SITE.  (ENTERED 12/01 BY MBH)"
7874,UNKNOWN,"Submerged, dangerous",30.248872,-87.585517,High,30,Feets,,"HISTORY
  FE288/86--OPR-J217-HFP-84; UNCHARTED SMALL (9 X 7 FT) STEEL ì
BARGE LOCATED IN LAT. 30-14-55.22N, LONG. 87-35-07.93W. LOCATED ì
BY ECHO SOUNDER IN 35 Feets. 3-4 Feets OF BARGE EXPOSED ABOVE ì
BOTTOM. DIVER LL LD OF 30 Feets. VIS. 30 Feets HORIZ. AND VERT. ì
SAND BOTTOM. LORAN-C POSITION (OBSERVED), 7980 CHAIN: W=13042.2, ì
Y=47092.1. EVALUATOR RECOMMENDS CHARTING A DANGEROUS WRECK AS 30 ì
WK AT SURVEYED LOCATION. (ENT. 11/13/90, SJV)"
6955,UNKNOWN,"Submerged, dangerous",30.254297,-87.561411,High,17,Feets,,"HISTORY
  LNM52/75--30 X 40 FT. DREDGE REPORTED SUNK IN APPROX. POS. LAT. ì
30-15N, LONG 87-34W, 3/4 MILE SW OF PERDIDO PASS ENT. LIGHT BUOY ì
""P"" (LL 1693.50) DREDGE NOT MARKED AND REPORTED TO BE IN 32FT.
  H10041/82-85--OPR-J217-HSB-81 & HFP-84; PSR ITEM NO. 165); ì
FATHOMETER SEARCH NEGATIVE (100 METER SPACING).
  H10114/82-84--OPR-J217-HSB-81; PSR ITEM NO. 165; FATHOMETER ì
SEARCH WITH 100 METER LINE SPACING NEGATIVE. WRECK LOCATED FROM ì
PRIVATE BOAT BY HFP-1 DIVERS FROM INFORMATION SUPPLIED BY ì
PLEASURE ISLAND DIVE CENTER IN GULF SHORES, ALABAMA. DIVER LL LD ì
OBTAINED OF 17 Feets AT THIS TIME. NO GP OBTAINED. ON JD 119, 1985 ì
WRECK WAS LOCATED IN LAT. 30-15-14.75N, LONG. 87-33-41.15W ON A ì
DIVER LL LD OF 17 Feets. SINCE THE HYDROTRAC SHORE STATIONS FOR ì
THE PROJECT HAD BEEN REMOVED THE PREVIOUS YEAR, THIS GP IS THE ì
MEAN OF THREE SETS OF SEXTANT ANGLES PLUS THREE MORE SETS USING ì
THE CHECK ANGLES. SUPERSTRUCTURE FRAMING IS ALL THAT REMAINS ì
ABOVE BOTTOM WITH BARGE BEING BROKEN UP AND BURIED IN SAND. ì
FRAMING CONSISTS OF 30 X 40 FOOT METAL PIPES OF VARYING SIZES. ì
EVALUATOR RECOMMENDS CHARTING A DANGEROUS SUBMERGED WRECK AS ì
SURVEYED. (UP 12/26/90, SJV)"
7313,UNKNOWN,"Submerged, dangerous",30.257478,-88.336172,High,12,Feets,,"HISTORY
H8647/61--SUNKEN BARGE WITH LD OF 12 Feets, LOCATED IN LAT 30-15-26.2N, LONG  ì
 88-20-10.2W. 225 Feets LONG 40 Feets WIDE.
FE309WD/74--OPR-479-RU/HE-74; MODIFIED EVALUATION REPORT; POOR POSITION  
 CONTROL DURING INVESTIGATION. EVALUATOR RECOMMENDS RETAINING AS CHARTED AND  
 INVESTIGATE WITH ADDITIONAL FIELD WORK. (ENTERED 4/17/89 SJV)"
14345,UNKNOWN,"Submerged, dangerous",30.265556,-88.516139,High,12,Feets,,"H11386-- OPR-J376-NRT4-04;  A submerged wreck was found during investigation, using 200% SSS and SBES.  Lest depth was found to be 12 ft.  Recommended to add wreck to chart with least depth of 12 ft.  (Entered CEH 9/2008)"
8589,UNKNOWN,"Submerged, dangerous",30.274108,-87.254336,High,43,Feets,,"HISTORY
  H10375/91--OPR-J452-HE; A 12 FT SKIFF, SURROUNDED BY VARIOUS DEBRIS, 
WAS LOCATED BY SIDE SCAN SONAR IN POS. LAT.30-16-26.79N, 
LONG.87-15-15.61W. LEAST DEPTH BY DIVERS WAS 43 FT (13.1M). 
(ENTERED 6/93 MCR)

  h12157/10--OPR-J364-KR-09; A 43-foot Wk charted at 30-16-26.51N, 87-15-15.59W was disproved with 200% SSS and full SWMB. A least depth of 48.8 Feets (14.9 meters) was surveyed at 30-16-25.49N, 87-15-18.44W.  It is recommended that the wreck symbol be removed from the chart."
10085,UNKNOWN,"Submerged, dangerous",30.2759,-81.231072,High,57.7,Feets,,"HISTORY
  FE441/98-- OPR-G354-WH; UNASSIGNED (450 METER RADIUS). SIDE ì
SCAN SONAR SEARCH LOCATED WRECK. DIVERS DESCRIBE A DETERIORATED ì
BARGE APPROX. 100 Feets LONG. LARGE SCOURS AT BOTH ENDS OF WRECK. ì
LD OF 57.7 Feets (17.6 METERS) WAS TAKEN ON A BIT (SIC.) NEAR ì
AMIDSHIPS IN LAT. 30-16-33.239N, LONG. 81-13-51.856W. EVALUATOR ì
RECOMMENDS NOT CHARTING SINCE WRECK IS LOCATED WITHIN THE LIMITS ì
OF CHARTED FISH HAVEN ""JW"" AND DOES NOT EXCEED AUTH. MIN. DEPTH. ì
(ENT 9/22/98, SJV)"
8631,UNKNOWN,"Submerged, dangerous",30.283031,-89.288708,High,5,Feets,,"HISTORY
  BP82882--NOS SURVEY (FIELD SHEET) H-9177 (1971); LOCATED A ì
SUNKEN WRECK WITH A DEPTH OF 10.3 FT MLW.
  H-9177 (1971)-- NOS HYDRO SURVEY (REVIEWED); REVISED THE DEPTH ì
OVER THE WRECK TO 5.0 FT MLW."
756,UNKNOWN,"Submerged, nondangerous",30.289089,-87.153725,High,21.8,Meters,,"SURVEY REQUIREMENT COMMENTS
  SEARCH AREA SHOWN ON PSR TO THE 15 FT CURVE. 

 HISTORY
  LNM22/80--8TH CGD; 5/21/80; 20 FT PLEASURE CRAFT HAS SUNK IN PA LAT ì
30-18-24N LONG 87-10-12W; WK WILL NOT BE SALVAGED OR REMOVED.
  H9943/81--OPR-J217; ITEM #331; INFO ITEM; NO TRACE WHILE RUNNING SNDGS; NO  ì
FURTHER INVESTIGATION DONE; EVALUATOR AND HYDROGRAPHER RECOMMEND RETAINING ì
AS CHARTED. (ENTERED 1/7/85 MSM)
  FE361SS/91-- OPR-J452-HE; LOCATED BY SIDE SCAN SONAR IN LAT. ì
30-17-20.72N, LONG. 87-09-13.41W. LL LD OF 21.8 METERS (71.0 ì
Feets). DESCRIBED AS A 20-FOOT FIBERGLASS BOAT PROTUDING  LESS ì
THAN ONE METER ABOVE THE BOTTOM.. EVALUATOR RECOMMENDS REVISING ì
CHARTED SYMBOL TO A NON-DANGEROUS SUNKEN WRECK, LD 21.8 METERS AS ì
SURVEYED. TWO ADDITIONAL WRECKS WERE LOCATED DURING THIS SEARCH. ì
20-FOOT STEEL HULL RISING ONE METER ABOVE THE BOTTOM LOCATED IN ì
LAT. 30-18-01.51N, LONG. 87-08-27.06W. LL LD OF 19.0 METERS (62.0 ì
Feets). EVALUATOR RECOMMENDS CHARTING A NON-DANGEROUS WRECK AS ì
SURVEYED (SEE AWOIS NO. 8748). A 25-FOOT STEEL HULL RISING LESS ì
THAN ONE METER OFF THE BOTTOM LOCATED IN LAT. 30-17-23.41N, LONG. ì
87-09-12.67W. LL LD OF 20.9 METERS (68 Feets). DEBRIS INSIDE HULL ì
AND FOUR SMALL ANCHORS HOLDING HULL IN PLACE INDICATE THAT WRECK ì
WAS SUNK AS A FISH HAVEN. EVALUATOR RECOMMENDS CHARTING A ì
NON-DANGEROUS SUBMERGED WRECK AS SURVEYED (SEE AWOIS NO. 8749). ì
(UP 9/3/93, SJV)"
8749,UNKNOWN,"Submerged, nondangerous",30.289836,-87.153519,High,20.9,Meters,,"HISTORY
  FE361SS/91-- OPR-J452-HE; WHILE SEARCHING FOR AWOIS ITEM NO. ì
756, A 25-FOOT HULL RISING LESS THAN ONE METER OFF THE BOTTOM WAS ì
LOCATED IN LAT. 30-17-23.41N, LONG. 87-09-12.67W. LL LD OF 20.9 ì
METERS (68 Feets). DEBRIS INSIDE HULL AND FOUR SMALL ANCHORS ì
HOLDING HULL IN PLACE INDICATE THAT THE WRECK WAS SUNK AS A FISH ì
HAVEN. EVALUATOR RECOMMENDS CHARTING A NON-DANGEROUS SUBMERGED ì
WRECK AS SURVEYED. (ENT 9/2/93, SJV)"
10007,CASABLANCA,"Submerged, dangerous",30.292031,-80.821306,High,83,Feets,,"HISTORY
  H9373/73-- OPR-436-MI-73; lARGE ECHO SOUNDER ""STRAY"" DEVELOPED. ì
WRECK OF THE CASABLANCA DISCOVERED. DIVER LD (CONTRACT DIVERS) OF ì
7.3 FATHOMS IN LAT. 30-17-30N, LONG. 80-49-18W.
  LNM35/73-- NOAA SHIP MT. MITCHELL ADVISES THAT ONE OF TWO ì
WRECKS PREVIOUSLY REPORTED HAS BEEN INVESTIGATED BY DIVERS AND ì
IDENTIFIED AS THE WRECK ""CASABLANCA"" IN LAT. 30-17.5N, LONG. ì
80-49.3W (ENT 3/6/98, SJV)
  FE441-98-- OPR-G354-WH; DIVERS DESCRIBE A DETERIORATED STEEL ì
HULL WRECK, 200-250 Feets LONG. RESTING UPRIGHT AND SLIGHTLY TO ì
PORT. LYING E-W.  LD TAKEN ON BOW (EAST) OF 83 Feets (25.3 ì
METERS) IN LAT. 30-17-31.312N, LONG. 80-49-16.704W. HYDROGRAPHER ì
RECOMMENDS DELETING CHARTED WRECK AND CHARTING A NON-DANGEROUS ì
SUNKEN WRECK, LD 83 Feets. EVALUATOR RECOMMENDS NOT CHARTING AS ì
WRECK IS LOCATED WITHIN LIMITS OF A CHARTED FISH HAVEN. (UP ì
9/22/98, SJV)."
8748,UNKNOWN,"Submerged, nondangerous",30.300419,-87.14085,High,19,Meters,,"HISTORY
  FE361SS/91-- OPR-J452-HE; WHILE SEARCHING FOR AWOIS ITEM NO. ì
756, A 20-FOOT STEEL HULL RISING ONE METER ABOVE THE BOTTOM WAS ì
LOCATED  IN LAT. 30-18-01.51N, LONG. 87-08-27.06W. LL LD OF 19.0 ì
METERS (62.0 Feets). EVALUATOR RECOMMENDS CHARTING A NON- ì
DANGEROUS WRECK AS SURVEYED. (ENT 9/3/93, SJV)"
7095,RHODA,"Submerged, dangerous",30.326381,-87.249581,High,21,Feets,,"LNM48/53--8TH CGD; AN UNCHARTED WRECK HAS BEEN LOCATED IN PA LAT 30-19-34.26N, LONG 87-14-58.60W WITH A FEW RIBS, CROSSMEMBERS AND A PILE OF ROCKS VISIBLE ABOVE THE BOTTOM WITH APPROXIMATELY 22 FT. OF WATER OVER THE WRECKAGE; ALSO REFERENCE CL385/83.
  
  H9995/83--OPR-J217-HSB-81; UNCHARTED DANGEROUS SUBMERGED WRECK LOCATED IN LAT 30-19-34.26N, LONG 87-14-58.60W. ECHO SOUNDER LD OF 21 Feets. EVALUATOR RECOMMENDS CHARTING A WRECK COVERED 21 Feets AS SURVEYED. WRECK BROUGHT TO ATTENTION OF FIELD PARTY BY A PARK RANGER. PENSACOLA HISTORICAL SOCIETY DESCRIBED WRECK AS THE ENGLISH BARK ""RHODA"". DRIFTED ACROSS THE BAY AND CAPSIZED AT 7:00PM DURING A HURRICANE ON SEPT. 9, 1882. DIVERS FOUND WRECK TO BE SCATTERED OVER A WIDE AREA. A FEW RIBS AND CROSSMEMBERS VISIBLE ABOVE THE BOTTOM. AXIS OF WRECK BASICALLY SSE - NNE. PILE OF ROCKS, POSSIBLY BALLAST, ALSO IN VICINITY OF WRECK WHICH REPORTEDLY WAS 150 Feets LONG. NOTICE TO MARINER RECOMMENDED. (ENTERED 2/6/89 SJV)

  H11764-- S-J917-NRT1-07;  AWOIS item was idenified in the 200% SSS coverage. Wreck was found at the charted position.  Retain as charted.  (Updated CEH 4/2010)"
10171,UNKNOWN,"Submerged, dangerous",30.347136,-81.214544,High,59,Feets,,"HISTORY
  H10799/98--OPR-G354-WH; CONTACT LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE REMAINS OF BARGE WITH NUMEROUS PIECES OF CONCRETE CULVERT SURROUNDING IT. NONE OF THIS SURROUNDING DEBRIS WAS SHOALER THAN THE BARGE. LD OF 59.0 Feets (17.9 METERS) WAS TAKEN  ON A PIECE OF METAL RISING OFF THE TOP DECK IN LAT. 30-20-49.688N, LONG. 81-12-52.355W. EVALUATOR RECOMMENDS CHARTING A 59 WK AS SURVEYED. (ENT 12/29/98, SJV)"
4500,CABRADROCA,"Submerged, dangerous",30.363981,-87.192378,High,5,Feets,,"04500
HISTORY
H10005/82-83--OPR-J217-HSB-81; WK. OBSERVED IN 10FT DEPTHS DURING MAINSCHEME  
 HYDRO. DIVER INVESTIGATION FOUND A DETERIORATED WOODEN VESSEL WITH MAJORITY  
 OF IT SILTED OVER. A LEADLINE LD OF 5FT OBSERVED IN LAT. 30-21-49.62N, LONG. 
 87-11-32.68W. EVALUATOR REOMMENDS A 5WK BE CHARTED AT THE POS. LISTED        
 ABOVE. (ENT. 11/86, MJF)                                                     

DESCRIPTION
**** PENSACOLA HISTORICAL SOCIETY; WK. LISTED AS CABRADROCA; PORTUGUESE SHIP  
     SCUTTLED IN OLD NAVY COVE AROUND 1910-1915; APPROX. 100FT L X 50FT W.;   
     POSSIBLE OLD STEAMER DUE TO AMOUNTS OF COAL AND MACHINERY IN THE AREA.   

SURVEY REQUIREMENTS
NOT ASSIGNED"
4501,UNKNOWN,"Submerged, dangerous",30.365817,-87.191633,High,8,Feets,,"04501
HISTORY
H5835/35--WK LOCATED IN LAT.30-21-57.2N, LONG.87-11-32.0W.                    
CL701/79--USPS REP. VERIFIED WK WITH ECHOSOUNDER AND DRAG LINE.               
H10005/82-83--OPR-J217-HSB-81; ITEM 319; WK. LOCATED BY DIVERS IN 13FT DEPTHS 
 RISING OFF BOTTOM 2-3FT WITH A LEADLINE OF 8FT IN LAT. 30-21-56.23N, LONG.   
 87-11-30.00W APPROX. 60M SE OF CHARTED WK. WRECKAGE DEBRIS STREWN OVER A 30M 
 SQUARE AREA. HYDRO. RECOMMENDS AN 8WK BE CHARTED AT POS. LISTED ABOVE AND    
 DANGEROUS SUBM. WK. CHARTED AT LAT. 30-21-57.2N, LONG. 87-11-32.0W BE        
 DELETED. (ENT, 11/86, MJF)                                                   

SURVEY REQUIREMENTS
NOT ASSIGNED: ITEM COMPLETE"
10017,ROSLYN B. HUDGINS,"Submerged, dangerous",30.372689,-80.899803,High,80,Feets,,"SURVEY REQUIREMENT COMMENTS
  THIS WRECK IS NOT PRESENTLY CHARTED WITHIN A FISH HAVEN.

 HISTORY
   LNM8/86-- FLORIDA-SEACOAST; VESSEL SUNK-ARTIFICIAL REEF; THE ì
100-FOOT M/V ""ROSLYN B. HUDGENS"" HAS BEEN SUNK IN THE ARTIFICIAL ì
REEF LOCATED IN APPROX. POSITION LAT. 30-22-32N, LONG. 80-53-42W. ì
ABOUT 60 Feets OF WATER OVER THE WRECK. (ENT 4/13/98, SJV)
  FE441/98-- OPR-G354-98; WRECK LOCATED IN LAT. 30-22-21.682, ì
LONG. 80-53-59.285W. ES LD OF 80.0 Feets (24.4 METERS). EVALUATOR ì
RECOMMENDS NOT CHARTING SINCE WRECK IS LOCATED WITHIN THE LIMITS ì
OF A CHARTED FISH HAVEN, AUTH. MIN. DEPTH 8.25 FATHOMS (49.5 ì
Feets). (UP 9/22/98, SJV)"
10169,UNKNOWN,"Submerged, dangerous",30.386244,-81.158458,High,65.9,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH; CONTACT LOCATED BY SIDE SCAN SONAR DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE A DETERIORATED BARGE. LD OF 65.9 Feets (20.1 METERS) ON PIPE RISING OFF THE TOP DECK IN LAT. 30-23-10.481N, LONG. 81-09-30.449W. EVALUATOR RECOMMENDS CHARTING A 66WK AS SURVEYED. (ENT 12/29/98, SJV)"
10170,UNKNOWN,"Submerged, dangerous",30.387667,-81.175206,High,53.7,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH; CONTACT LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE DETERIORATED BARGE.  LD OF 53.7 Feets (16.2 METERS) TAKEN ON A PIPE RISING OFF THE TOP DECK IN LAT. 30-23-15.602N, LONG. 81/10/30.739W. EVALUATOR RECOMMENDS CHARTING A 53WK AS SURVEYED. (ENT 12/29/98, SJV)"
10167,UNKNOWN,"Submerged, dangerous",30.388342,-81.170253,High,64.3,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH; CONTACT LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE THE REMAINS OF A BARGE. LD OF 64.3 Feets (19.6 METERS) TAKEN ON A PIPE RISING OFF THE TOP DECK IN LAT. 30-23-18.029N, LONG. 81-10-12.910W. EVALUATOR RECOMMENDS NOT CHARTING DUE TO ITS PROXIMITY TO A WRECK WITH A SHOALER LD. (ENT 12/29/98, SJV)"
10166,UNKNOWN,"Submerged, dangerous",30.388922,-81.176936,High,61.1,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH-; CONTACT LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE A BARGE EXTENDING 4-6 Feets OFF THE BOTTOM. LD OF 61.1 Feets (18.6 METERS) TAKEN ON A BIT (SIC) RISING OFF THE TOP DECK IN LAT. 30-23-20.115N, LONG. 81-10-36.968W. EVALUATOR RECOMMENDS CHARTING A 61WK AS SURVEYED. (ENT 12/29/98, SJV)"
10159,UNKNOWN,"Submerged, dangerous",30.38925,-81.347306,High,43,Feets,,"HISTORY
  H10793/98-- OPR-G354-WH; ORIGINALLY LOCATED BY H-10646/95-96. ì
PRESENT SURVEY OBTAINED A ES LD OF 37 Feets (11.3 METERS) IN LAT. ì
30-23-21.17N, LONG. 81-20-50.29W. EVALUATOR RECOMMENDS CHARTING A ì
37 WK AS SURVEYED. (11/27/98, SJV)

  H12407-- S-G901-NRT2-12; Wreck has diminished in projection off bottom. Delete 37ft wreck. ADD 43ft wreck"
10165,UNKNOWN,"Submerged, dangerous",30.392083,-81.171097,High,62.6,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH; CONTACT LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE A DETERIORATED BARGE WITH BOW INTACT. LD OF 62.6 Feets (19.1 METERS) IN LAT. 30-23-31.499N, LONG. 81-10-15.950W. EVALUATOR RECOMMENDS CHARTING A 62WK AS SURVEYED. (ENT 12/29/98, SJV)"
11233,UNKNOWN,"Submerged, dangerous",30.393317,-81.478492,High,28.62,Feets,1987,"LNM19/87--05/12/87, 7TH CGD; SUBMERGED WRECK IN APPROXIMATE POSITION LAT 30-23-32.40N, LONG 081-21-44.40W (NAD 27).
(ENTERED BY PSH, 01/02)

  H11091/03--OPR-G443-NRB-03;  200% SIDE SCAN COVERAGE IN THIS REGION REVEALED A SUBMERGED WRECK NEAR THE CHARTED LOCATION AT 30-23-35.942N 081-28-42.574W (NAD 83).  THE DEPTH WAS 28.5 Feets. HYDROGRAPHER RECOMMENDS REMOVING THE WRECK SYMBOL AND PA, AND CHART SUBMERGED WRECK . UPDATED 10/21/04 JS.

  H12408-- S-G901-NRT2-13;  Update least depth"
4502,UNKNOWN,"Submerged, dangerous",30.393539,-87.245408,High,1,Feets,,"H5835/35--DANGEROUS SUBM. WK. LOCATED IN LAT.30-23-36.8N, LONG.87-14-43.2W.   
CL170/46--SPECIAL REP. WEST BAY-PENSACOLA BAY ENT. FL PROJECT PH-1(45);  REVISED TO EXISTANCE DOUBTFUL (NOT ABOVE MLW)   

  H10005/82-83--OPR-J217-HSB-81; ITEM 324; WK. LOCATED IN LAT.30-23-36.03N, LONG 87-14-43.58W AND DETERMINED IT TO BE WRECKAGE SCATTERED OVER A 15M SQUARE AREA. A 1FT LD OVER WRECKAGE WAS FOUND AT POS. LISTED ABOVE. EVALUATOR RECOMMENDS THAT A 1FT WK BE CHARTED AND THE DANGEROUS SUBM. WK. ED. BE DELETED. (ENT, 11/86, MJF)"
10164,UNKNOWN,"Submerged, dangerous",30.394503,-81.171769,High,62.6,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH; CONTACT LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE A DETERIORATING WRECK SITTING UPRIGHT ON A SANDY BOTTOM. LD OF 62.6 Feets (19.10 METERS) TAKEN ON REMAINING SUPERSTRUCTURE IN LAT. 30-23-40.210N, LONG. 81-10-18.372W. EVALUATOR RECOMMENDS CHARTING A 62WK AS SURVEYED. (ENT 12/29/98, SJV)"
7103,UNKNOWN,"Submerged, dangerous",30.405039,-87.259936,High,2,Feets,,"HISTORY
  CL701/79--USPS; AREA CHARTED AS ""WRECKS"" IN LAT 30-24-15N, LONG ì
87-15-35W.
  TP00544/78-79--TWO WRECKS SHOWN IN LAT 30-24-17.3N, LONG ì
87-15-36.0W, AND LAT 30-24-17.8N, LONG 87-15-33.5W.
  H9995/83--OPR-J217-HSB-81; ITEM 327; TWO WRECKS (ABOVE) ì
VERIFIED AS THE BOTTOM DECKS OF WOODEN BARGES. LD OF 2 Feets ì
OBTAINED IN AREA. EVALUATOR RECOMMENDS CHARTING THE TWO WRECKS ì
COVERED 2 Feets AT MLLW AS SURVEYED. MAIN PORTION OF WRECKS WAS ì
REMOVED IN 1981 BY MACDONALD MARINE, PENSACOLA. PART OF WRECKS ì
IMBEDDED IN BAYOU BOTTOM NOT DISTURBED IN ORDER TO PREVENT ì
ADDITIONAL POLLUTION OF BAYOU. LD OF 2.5 Feets BY POLE IN LAT ì
30-24-17.43N, LONG 87-15-35.88W. (ENTERED 2/6/89 SJV)"
11228,UNKNOWN,"Submerged, dangerous",30.412514,-81.592578,High,1,Feets,,"H6127/35--VISIBLE WRECK SHOWN IN POS.30 43 43.5N, 81 35 32.7W (NAD 27)
  CL1604/76--08/12/76, JOHN J. MOLISANI OF USPS; COULD NOT LOCATE RUIN OR WRECK AS SHOWN ON CHART.
  CL2267/76--12/30/76; NOS CHART DEFICIENCY SURVEY-- THE SUBMERGED WRECK HAS SHIFTED DOWN ON TOP OF THE RUINS.  THE G.P. OF THE WRECK IS LAT 30-24-42.60N, LONG 081-35-33.00W (NAD 27).  THE WRECK NO LONGER BARES 0.7 Feets AT MLW.  THE RUINS ARE AS CHARTED.  THE RUINS ARE SUBMERGED 2.1 Feets AT MLW.  IT IS RECOMMENDED THE CHARTED SUBMERGED WRECK BE DELETED AND THE WRECK BE CHARTED AS VISIBLE AT THE NEW G.P. (ENTERED BY PSH, 02/02)
  H11090/02-- OPR-G443-NRT;  200% SIDE SCAN SONAR LOCATED WRECK AND RUINS. ECHO SOUNDER LD OF 1 FOOT (0.3 METERS) OBTAINED IN LAT. 30-24-45.053N, LONG. 81-35-33.280W. EVALUATOR RECOMMENDS REVISING TO A 1 WK AS SURVEYED. AND RETAIN THE RUINS AS CHARTED. (UP 10/28/04, SJV)'
  H12408-- S-G901-NRT2-13; Found by 200% SSS. Too shallow for MB. Retain as charted"
10172,UNKNOWN,"Submerged, dangerous",30.412983,-81.260139,High,46.2,Feets,,"HISTORY
  H10799/98-- OPR-G354-WH; WRECK LOCATED BY SIDE SCAN SONAR SEARCH DURING MAIN SCHEME HYDROGRAPHY. DIVERS DESCRIBE A WRECK WITH NO SUPERSTRUCTURE SITTING UPRIGHT ON A SANDY BOTTOM. LD TAKEN ON A CHOCK NEAR THE BOW OF 46.2 Feets (14.10 METERS) IN LAT. 30-24-46.743N, LONG. 81-15-36.496W. EVALUATOR RECOMMENDS CHARTING A 46 WK AS SURVEYED. (ENT 12/29/98, SJV)"
7523,UNKNOWN,"Submerged, dangerous",30.418753,-86.530714,High,27,Feets,,"H10262/87-88--OPR-J259-HFP-87; DANG SUBM WRECK, LOCATED IN LAT.30-25-06.8N,
LONG.81-31-50.75W. 40FT WOOD/METAL FISHING TRAWLER. LEAD LINE LD=26.8FT.
(UP SRB 12/89)"
10086,UNKNOWN,"Submerged, dangerous",30.421383,-81.207542,High,47.9,Feets,,"HISTORY
  FE441/98-- OPR-G354-WH; UNASSIGNED (750 METER RADIUS). SIDE ì
SCAN SONAR SEARCH LOCATED A WRECK. DIVERS DESCRIBE A LARGE ì
STEEL-HULLED BARGE APPROX. 175 Feets LONG. LD OF 47.9 Feets (14.6 ì
METERS) ON A VERTICAL METAL POST NEAR AMIDSHIPS IN LAT. ì
30-25-16.979N, LONG. 81-12-27.149W. EVALUATOR RECOMMENDS DELETING ì
CHARTED OBSTRUCTION IN LAT. 30-25-10.240N, LONG. 81-12-23.230W ì
AND CHARTING A 48 WK AS SURVEYED. (ENT 9/22/98, SJV)"
10089,UNKNOWN,"Submerged, dangerous",30.42265,-81.224819,High,57.1,Feets,,"HISTORY
  FE441/98-- OPR-G354-WH; UNASSIGNED (750 METER RADIUS). SIDE ì
SCAN SONAR SEARCH LOCATED A WRECK. DIVERS DESCRIBE A SMALL TUG ì
APPROX. 55 Feets LONG, PROPELLER INTACT. LD ON A TOWING BIT (SIC.) ì
ON STERN OF 57.1 Feets (17.4 METERS) IN LAT. 30-25-21.538N, LONG. ì
81-13-29.351W. EVALUATOR RECOMMENDS CHARTING A 57 WK AS SURVEYED. ì
(ENT 9/22/98, SJV)"
6888,UNKNOWN,"Submerged, dangerous",30.42345,-86.322325,High,0.8,Meters,,"HISTORY
  H5869/35--OPR#196-34; SUBM DANGEROUS WRECK LOCATED IN ì
LAT.30-25-23N, LONG.86-19-20W. (ENTERED 9/88 SRB)
  H10428/92-- OPR-J259-AHP; WRECKAGE FOUND VISUALLY. DIVERS ì
DESCRIBE A DETERIORATING STEEL BOILER IN 1.5 METERS COVERING ì
APPROX. 5 METER RADIUS AREA. LD OF 0.8 METER IN LAT. ì
30-25-24.42N, LONG. 86-19-20.37W. EVALUATOR RECOMMENDS CHARTING ì
AS SURVEYED. (UP 8/24/93, SJV)"
10467,UNKNOWN,"Submerged, dangerous",30.427614,-81.240483,High,45.3,Feets,,"HISTORY
  H10878/99-- OPR-G354-WH; SIDE SCAN SONAR CONTACT LOCATED DURING MAIN SCHEME HYDROGRAPHY.  DIVERS DESCRIBE A BARGE SITTING UPRIGHT ON A SANDY BOTTOM. LD TAKEN ON A VERTICAL PIPE OFF THE DECK OF 13.8 METERS (45.3 Feets) IN LAT. 30-25-39.41N, LONG. 81-14-25.74W.  EVALUATOR RECOMMENDS CHARTING A 45 WK AS SURVEYED. (ENTERED 12/9/99, SJV)"
